_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1622576,22515,BP-20130,436,Wellington St W,Wellington St W,North,Draper St,East,,10,,Ring,Existing,0,313119.201,4833747.004,-79.39688218,43.64361848,"{u'type': u'Point', u'coordinates': (-79.3968821786, 43.643618481)}"
1622577,22519,BP-20826,50,Queen St W,James St,West,Queen St W,North,,13,Downtown Yonge,Ring,Existing,0,314409.324,4834713.37,-79.38087374,43.65230153,"{u'type': u'Point', u'coordinates': (-79.3808737406, 43.6523015323)}"
1622578,22520,BP-20831,50,Queen St W,James St,West,Queen St W,North,,13,Downtown Yonge,Ring,Existing,0,314402.642,4834734.337,-79.3809562,43.65249035,"{u'type': u'Point', u'coordinates': (-79.380956204, 43.6524903496)}"
1622579,22523,BP-20946,573,Christie St,Christie St,East,Ln N Tyrrel W Christie,North,,12,,Ring,Existing,0,310879.672,4837699.757,-79.42459696,43.67922021,"{u'type': u'Point', u'coordinates': (-79.4245969532, 43.6792202086)}"
1622580,22524,BP-20857,25,Bond St,Bond St,East,Queen St E,North,,13,,Ring,Existing,0,314720.067,4834833.039,-79.37701928,43.65337464,"{u'type': u'Point', u'coordinates': (-79.3770192873, 43.6533746339)}"
1622581,22525,BP-20896,222,Bremner Blvd,Bremner Blvd,North,Lower Simcoe St,West,,10,Toronto Entertainment District,Ring,Existing,0,314124.349,4833612.951,-79.38442554,43.6423999,"{u'type': u'Point', u'coordinates': (-79.3844255459, 43.6423999051)}"
1622582,22527,BP-20900,335,Bremner Blvd,Bremner Blvd,South,Navy Wharf Crt,West,,10,Toronto Entertainment District,Ring,Existing,0,313510.23,4833420.894,-79.39204057,43.64067857,"{u'type': u'Point', u'coordinates': (-79.3920405767, 43.6406785733)}"
1622583,22528,BP-20902,222,Bremner Blvd,Bremner Blvd,North,Lower Simcoe St,West,,10,Toronto Entertainment District,Ring,Existing,0,314116.395,4833610.301,-79.38452418,43.64237615,"{u'type': u'Point', u'coordinates': (-79.3845241805, 43.6423761511)}"
1622584,22529,BP-20903,288,Bremner Blvd,Bremner Blvd,North,Lower Simcoe St,West,,10,Toronto Entertainment District,Ring,Existing,0,314041.686,4833590.5,-79.38545053,43.64219884,"{u'type': u'Point', u'coordinates': (-79.3854505282, 43.6421988469)}"
1622585,22531,BP-20917,83,Navy Wharf Crt,Blue Jays Way,South,Navy Wharf Crt,East,,10,Toronto Entertainment District,Ring,Existing,0,313591.9,4833546.688,-79.39102627,43.64180993,"{u'type': u'Point', u'coordinates': (-79.3910262686, 43.6418099298)}"
1622586,22532,BP-20923,115,Winona Dr,Winona Dr,East,Benson Ave,South,,12,,Ring,Existing,0,310333.113,4837534.568,-79.43137734,43.67773756,"{u'type': u'Point', u'coordinates': (-79.4313773331, 43.6777375616)}"
1622587,22533,BP-20937,700,Dupont St,Melita Cres,South,Ln W Melita Cres S Wychcrest,West,,12,,Ring,Existing,0,310949.013,4836940.476,-79.4237456,43.67238511,"{u'type': u'Point', u'coordinates': (-79.4237456082, 43.6723851121)}"
1622588,22534,BP-20941,5,Benson Ave,Wychwood Ave,West,Ln S Hocken E Wychwood,West,,12,,Ring,Existing,0,311021.844,4837828.389,-79.42283218,43.68037688,"{u'type': u'Point', u'coordinates': (-79.4228321846, 43.680376888)}"
1622589,22535,BP-20942,573,Christie St,Christie St,East,Benson Ave,South,,12,,Ring,Existing,0,310868.116,4837738.801,-79.42473984,43.67957175,"{u'type': u'Point', u'coordinates': (-79.424739837, 43.6795717501)}"
1622590,22537,BP-21079,1,Queen St E,Queen St E,South,Yonge St,East,,13,Downtown Yonge,Ring,Existing,0,314564.662,4834726.565,-79.37894779,43.65241828,"{u'type': u'Point', u'coordinates': (-79.3789477896, 43.6524182819)}"
1622591,22538,BP-20954,603,Davenport Rd,Davenport Rd,South,Walmer Rd,West,,12,Dupont by the Castle,Ring,Existing,0,311966.799,4837424.71,-79.41111755,43.67673473,"{u'type': u'Point', u'coordinates': (-79.4111175452, 43.6767347371)}"
1622592,22539,BP-20983,603,Davenport Rd,Davenport Rd,South,Walmer Rd,West,,12,Dupont by the Castle,Ring,Existing,0,311978.308,4837424.974,-79.41097481,43.676737,"{u'type': u'Point', u'coordinates': (-79.4109748076, 43.6767370024)}"
1622593,22540,BP-20988,379,St Clair Ave W,St Clair Ave W,South,Wells Hill Ave,East,,12,,Ring,Existing,0,311626.697,4838183.734,-79.41532587,43.68357014,"{u'type': u'Point', u'coordinates': (-79.415325869, 43.683570145)}"
1622594,22541,BP-20995,76,Wychwood Ave,Wychwood Ave,West,Helena Ave,West,,12,,Ring,Existing,0,311034.292,4837785.308,-79.4226783,43.67998899,"{u'type': u'Point', u'coordinates': (-79.4226782936, 43.6799889984)}"
1622595,22542,BP-20998,76,Wychwood Ave,Wychwood Ave,West,Helena Ave,West,,12,,Ring,Existing,0,311034.795,4837783.5,-79.42267208,43.67997272,"{u'type': u'Point', u'coordinates': (-79.422672076, 43.6799727198)}"
1622596,22543,BP-21007,339,Queens Quay W,Queens Quay W,South,Lower Spadina Ave,East,,10,The Waterfront,Ring,Existing,0,313757.523,4833122.465,-79.38898044,43.63798937,"{u'type': u'Point', u'coordinates': (-79.3889804418, 43.6379893702)}"
